exp_ID;Workload Level;Block Size;Block Creation Interval;TFL;TPS;Number of Validating Nodes;first_block;last_block;number_of_blocks;total_number_of_blocks_per_exp;BPR;Gini;HHI
tezosExp_1009;100;4580976;37;16.88;74.36;33;40;41;2;22;10.3782948559119;1.49526270295524E-05;312.500000237599
tezosExp_1009;105;4580976;37;17.24;49.47;33;30;31;2;22;10.3782948559119;1.49526270295524E-05;312.500000237599
tezosExp_101;10;2973588;113;61.08;1.85;10;35;36;2;22;3.14493783512482;8.56844545406494E-06;1000.00000023377
tezosExp_101;25;2973588;113;61;4.63;10;20;21;2;22;3.14493783512482;8.56844545406494E-06;1000.00000023377
tezosExp_101;40;2973588;113;61.01;7.41;10;25;26;2;22;3.14493783512482;8.56844545406494E-06;1000.00000023377
tezosExp_101;55;2973588;113;61;10.19;10;60;61;2;22;3.14493783512482;8.56844545406494E-06;1000.00000023377
tezosExp_101;70;2973588;113;56.97;12.96;10;66;68;3;22;3.91973061534019;8.56844545406494E-06;1000.00000023377
tezosExp_101;85;2973588;113;57.68;10.5;10;50;51;2;22;3.14493783512482;8.56844545406494E-06;1000.00000023377
tezosExp_101;90;2973588;113;57.9;16.67;10;40;41;2;22;3.14493783512482;8.56844545406494E-06;1000.00000023377
tezosExp_101;95;2973588;113;58.05;17.6;10;55;56;2;22;3.14493783512482;8.56844545406494E-06;1000.00000023377
tezosExp_101;100;2973588;113;57.49;18.29;10;30;31;2;22;3.14493783512482;8.56844545406494E-06;1000.00000023377
tezosExp_101;105;2973588;113;59.89;12.4;10;44;46;3;22;3.91973061534019;8.56844545406494E-06;1000.00000023377
tezosExp_1010;10;2772987;27;15.27;7.22;32;126;127;2;20;10.6301699036396;1.36448793414902E-05;322.58064536349
tezosExp_1010;25;2772987;27;14.6;18.07;32;80;81;2;20;10.6301699036396;1.36448793414902E-05;322.58064536349
tezosExp_1010;40;2772987;27;13.99;28.93;32;137;138;2;20;10.6301699036396;1.36448793414902E-05;322.58064536349
tezosExp_1010;55;2772987;27;14.02;39.78;32;46;47;2;20;10.6301699036396;1.36448793414902E-05;322.58064536349
tezosExp_1010;70;2772987;27;14.06;50.59;32;103;104;2;20;10.6301699036396;1.36448793414902E-05;322.58064536349
